StationID,EventCode,LME,SampleYear,CruiseID,VesselCode,StationNumber,MasterStationName,GearCode,Gear Description,Tow Type,TrawlPerformance,HaulDate,GearInTime,EQTime,HaulbackTime,GearOUtTime,Gear In Latitude,EQ Latitude,Haulback Latitude,GearOut Latitude,Gear In Longitude,EQ Longitude,Haulback Longitude,GearOut Longitude,Speed,Gear Depth,Bottom DepthStart,BottomDepthEnd,AvgNetHorizontalOpening,HorizSpreadEstimate,AvgNetVerticalOpening,VertSpreadEstimate,MWO,Notes,BSIERP_Region_Code,Oceanographic_Domain_Code
19960401001,03,Gulf of Alaska,1996,1GP96,04,1,54.5-132.75,400580,,S,G/S,7/21/1996,,7/21/1996,7/21/1996,,,54.61666667,54.6,,,-132.7833333,-132.85,,,,,,,FALSE,,FALSE,,,0,0
19960401002,03,Gulf of Alaska,1996,1GP96,04,2,54.5-131.25,400580,,S,G/S,7/21/1996,,7/21/1996,7/21/1996,,,54.51666667,54.51666667,,,-131.2333333,-133.35,,,,,,,FALSE,,FALSE,,,0,0
19960401003,03,Gulf of Alaska,1996,1GP96,04,3,54.25-134.25,400580,,S,G/S,7/21/1996,,7/21/1996,7/21/1996,,,54.33333333,54.31666667,,,-134.1833333,-134.3,,,,,,,FALSE,,FALSE,,,0,0
19960401004,03,Gulf of Alaska,1996,1GP96,04,4,54.25-134.25,400580,,S,G/S,7/22/1996,,7/22/1996,7/22/1996,,,54.35,54.41666667,,,-134.2833333,-134.1333333,,,,,,,FALSE,,FALSE,,,0,0
19960401005,03,Gulf of Alaska,1996,1GP96,04,5,54.5-133.5,400580,,S,G/S,7/22/1996,,7/22/1996,7/22/1996,,,54.53333333,54.58333333,,,-133.5166667,-133.3833333,,,,,,,FALSE,,FALSE,,,0,0
19960401006,03,Gulf of Alaska,1996,1GP96,04,6,55.5-133.75,400580,,S,G/S,7/22/1996,,7/22/1996,7/22/1996,,,55.41666667,55.35,,,-133.8166667,-133.9333333,,,,,,,FALSE,,FALSE,,,0,0
19960401007,03,Gulf of Alaska,1996,1GP96,04,7,55.25-134,400580,,S,G/S,7/22/1996,,7/22/1996,7/22/1996,,,55.28333333,55.23333333,,,-134.1,-134.2166667,,,,,,,FALSE,,FALSE,,,0,0
19960401008,03,Gulf of Alaska,1996,1GP96,04,8,55-135.25,400580,,S,G/S,7/23/1996,,7/23/1996,7/23/1996,,,54.98333333,54.96666667,,,-135.2333333,-135.3666667,,,,,,,FALSE,,FALSE,,,0,0
19960401009,03,Gulf of Alaska,1996,1GP96,04,9,56.25-134.75,400580,,S,G/S,7/23/1996,,7/23/1996,7/23/1996,,,56.15,56.11666667,,,-134.7,-134.8666667,,,,,,,FALSE,,FALSE,,,0,0
19960401010,03,Gulf of Alaska,1996,1GP96,04,10,56-135,400580,,S,G/S,7/23/1996,,7/23/1996,7/23/1996,,,56.1,56.06666667,,,-134.9,-135.0333333,,,,,,,FALSE,,FALSE,,,0,0
