extraction_ID,alternative_ID,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc_ng_uL,additional_metadata,accompanying_data
e00611,NW21_2-10,water,2021,8,30,2,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,A01,,,
e00612,NW21_2-10,water,2021,8,30,2,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,B01,,,
e00613,NW21_2-10,water,2021,8,30,2,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,C01,,,
e00614,NW21_5-40,water,2021,8,31,5,Northern Bering Sea,,,,sample,40,,NBS,,MP,2022_02_23,plate,1_2022,D01,,,
e00615,NW21_5-40,water,2021,8,31,5,Northern Bering Sea,,,,sample,40,,NBS,,MP,2022_02_23,plate,1_2022,E01,,,
e00616,NW21_5-40,water,2021,8,31,5,Northern Bering Sea,,,,sample,40,,NBS,,MP,2022_02_23,plate,1_2022,F01,,,
e00617,NW21_5-10,water,2021,8,31,5,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,G01,,,
e00618,NW21_5-10,water,2021,8,31,5,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,H01,,,
e00619,NW21_5-10,water,2021,8,31,5,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,A02,,,
e00620,NW21_5b,water,2021,8,31,5,Northern Bering Sea,,,,field_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,B02,,,
e00621,NW21_8-10,water,2021,9,1,8,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,C02,,,
e00622,NW21_8-10,water,2021,9,1,8,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,D02,,,
e00623,NW21_8-10,water,2021,9,1,8,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,E02,,,
e00624,NW21_8b,water,2021,9,1,8,Northern Bering Sea,,,,field_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,F02,,,
e00625,,water,,,,,,,,,extraction_blank,,,NBS,,MP,2022_02_23,plate,1_2022,G02,,,
