"SHIP","SURVEY","EVENT_ID","STATION","GEAR","PARTITION","EQ_TIME","EQ_LATITUDE","EQ_LONGITUDE","HB_TIME","HB_LATITUDE","HB_LONGITUDE","HEAD_ROPE_DEPTH","NET_HEIGHT","HEAD_ROPE_TEMP","DOORSOUT","DO_LATITUDE","DO_LONGITUDE","AVG_NET_VERT_OPENING","AVG_NET_HORI_OPENING","AVG_HEAD_ROPE_DEPTH","AVG_TRAWL_WIRE_OUT","BOTTOM_DEPTH_END","BOTTOM_DEPTH_START","EVENT_TYPE","PERFORMANCE_CODE","COMMENTS"
135,202101,7,"2","CanTrawl","Codend","08202017 20:50:05.758",59.9987,-169.0296,"08202017 21:20:31.511",59.999,-169.1023,,14.5,,"",,,14.5,50.5,,330,43,41,50,0,""
135,202101,117,"29","Bongo/FastCat","Codend","09082021 20:24:04.768",62.4977,-166.9944,"",,,,,,"",,,,,,,33,33,11,0,""
135,202101,188,"46","CanTrawl","Codend","09142021 21:13:08.053",64.099,-162.5339,"09142021 21:43:33.765",64.0955,-162.6147,,15.42,,"",,,15.42,51.78,,330,20,20,50,0,""
135,202101,37,"9","Benthic Grab","Codend","09022021 00:30:15.695",60.499,-166.9927,"",,,,,,"",,,,,,,27,27,56,0,""
135,202101,34,"8","Bongo/FastCat","Codend","09012021 20:30:21.492",60.5007,-168.0077,"",,,,,,"",,,,,,,29,29,11,0,""
135,202101,199,"52","3m Beam Trawl","Codend","09152021 21:03:01.205",64.3031,-167.0059,"09152021 21:08:05.983",64.3045,-167.008,,,,"",,,,,,,30,30,3,0,""
135,202101,146,"36","3m Beam Trawl","Codend","09112021 02:07:04.660",64.4952,-168.9991,"09112021 02:12:09.406",64.4932,-168.9998,,,,"",,,,,,,41,41,3,0,""
135,202101,3,"1","CanTrawl","Codend","08202017 16:47:59.297",59.997,-168.0383,"08202017 17:18:24.535",59.9941,-168.118,,18.83,,"",,,18.83,50.46,,,21,21,50,0,""
135,202101,9,"3","Benthic Grab","Codend","08212017 00:34:17.594",60.0002,-169.9954,"",,,,,,"",,,,,,,55,55,56,0,""
135,202101,190,"48","CTD","Codend","09152021 04:06:14.378",63.8003,-164.4995,"",,,,,,"",,,,,,,,,51,0,""
135,202101,98,"24","3m Beam Trawl","Codend","09072021 01:31:35.846",61.9944,-171.0053,"09072021 01:36:45.444",61.9929,-171.006,,,,"",,,,,,,49,49,3,0,""
135,202101,196,"51","CTD","Codend","09152021 19:29:01.131",64.3674,-167.3336,"",,,,,,"",,,,,,,,,51,0,""
135,202101,174,"43","3m Beam Trawl","Codend","09132021 20:27:01.964",64.0041,-165.9966,"09132021 20:32:07.069",64.0053,-165.994,,,,"",,,,,,,21,21,3,0,""
135,202101,119,"29","CanTrawl","Codend","09082021 21:04:55.933",62.5076,-166.9963,"09082021 21:35:21.788",62.5424,-166.9984,,18.25,,"",,,18.25,50.55,,330,33,33,50,0,""
135,202101,85,"21","3m Beam Trawl","Codend","09062021 01:07:17.585",62.0035,-168.0161,"09062021 01:12:24.655",62.0044,-168.02,,,,"",,,,,,,27,27,3,0,""
135,202101,183,"45","3m Beam Trawl","Codend","09142021 16:30:19.614",64.1015,-163.4875,"09142021 16:35:24.282",64.1013,-163.4837,,,,"",,,,,,,23,23,3,0,"2nd beam trawl.  Net twisted on first attempt."
135,202101,65,"16","CTD","Codend","09042021 16:00:59.663",61.4984,-169.9992,"",,,,,,"",,,,,,,,,51,0,""
135,202101,181,"45","Bongo/FastCat","Codend","09142021 16:07:59.837",64.1003,-163.4994,"",,,,,,"",,,,,,,23,23,11,0,""
135,202101,87,"22","CTD","Codend","09062021 16:03:24.922",61.9972,-168.999,"",,,,,,"",,,,,,,,,51,0,""
135,202101,32,"8","Benthic Grab","Codend","09012021 20:22:40.265",60.4994,-168.0026,"",,,,,,"",,,,,,,29,29,56,0,""
135,202101,27,"7","CTD","Codend","09012021 16:01:13.001",60.5007,-169.0013,"",,,,,,"",,,,,,,,,51,0,""
135,202101,99,"24","CanTrawl","Codend","09072021 02:02:15.819",62.0053,-170.9941,"09072021 02:32:41.699",62.0409,-170.9749,,20.86,,"",,,20.86,50.81,,330,49,49,50,0,""
135,202101,95,"23","CanTrawl","Codend","09062021 21:31:05.190",61.9902,-170.02,"09062021 22:01:30.406",61.9757,-170.0833,,22.94,,"09062021 21:25:39.072",61.9951,-170.0086,22.94,50.02,,330,44,44,50,0,""
135,202101,120,"30","CTD","Codend","09092021 00:43:51.762",63.0009,-166.9995,"",,,,,,"",,,,,,,,,51,0,""
