SHIP,SURVEY,STATION,EVENT_ID,EVENT_TYPE,GEAR,EQ_TIME,HB_TIME,EQ_LATITUDE,EQ_LONGITUDE,HB_LATITUDE,HB_LONGITUDE,DISTANCE,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,EFFORT,DOORSOUT,DO_LATITUDE,DO_LONGITUDE,NETINWATER,NETOUTOFWATER,AVG_HEAD_ROPE_DEPTH,AVG_TRAWL_WIRE_OUT,BOTTOM_DEPTH_START,BOTTOM_DEPTH_END,PERFORMANCE_CODE,COMMENTS
135,202202,1,1,51,CTD,09012022 18:09:12.397,,60.005,-167.9967,,,,,,,,,,,,,,,,0,
135,202202,1,2,56,Benthic Grab,09012022 18:11:53.964,,60.0057,-167.9963,,,,,,,,,,,,,,26,26,0,
135,202202,1,3,11,Bongo,09012022 18:19:48.923,,60.0061,-167.9985,,,,,,,,,,09012022 18:18:35.540,09012022 18:20:43.663,,,,,0,
135,202202,1,4,3,3m Beam Trawl,09012022 18:32:05.849,09012022 18:37:10.860,60.0024,-167.9979,60.0008,-167.9958,0.21,,,,,,,,,,,26,26,-6,
135,202202,1,5,3,3m Beam Trawl,09012022 18:52:00.026,09012022 18:57:04.960,60.0025,-168.0038,60.0043,-168.0066,0.25,,,,,,,,,,160,26,26,0,
135,202202,1,6,50,CanTrawl,09012022 19:48:31.738,09012022 20:18:57.749,60.0074,-168.0721,60.0051,-168.1316,3.32,23,49,0.1625475589,,,,,,,330,26,31,0,
135,202202,2,7,51,CTD,09022022 00:44:05.131,,59.9984,-168.9974,,,,,,,,,,,,,,,,0,
135,202202,2,8,56,Benthic Grab,09022022 00:53:07.343,,59.9961,-168.9917,,,,,,,,,,,,,,43,43,0,
135,202202,2,9,11,Bongo,09022022 01:01:25.480,,59.9952,-168.9937,,,,,,,,,,09022022 00:59:39.509,09022022 01:02:58.784,,,,,0,
135,202202,2,10,3,3m Beam Trawl,09022022 01:14:55.029,09022022 01:20:01.070,59.9954,-169.0043,59.9957,-169.0093,0.28,,,,,,,,,,270,43,43,-6,
135,202202,2,11,3,3m Beam Trawl,09022022 01:38:34.323,09022022 01:43:39.396,59.9933,-169.0251,59.9935,-169.0292,0.23,,,,,,,,,,250,43,43,0,
135,202202,2,12,50,CanTrawl,09022022 02:14:20.255,09022022 02:44:45.767,59.9944,-169.0626,59.9901,-169.1389,4.27,23.27,48.75,0.2081593268,09022022 02:08:07.586,59.9953,-169.0446,,,,330,43,44,0,
135,202202,3,13,56,Benthic Grab,09022022 16:18:56.665,,59.9986,-170.006,,,,,,,,,,,,,,55,55,0,
135,202202,3,14,11,Bongo,09022022 16:36:35.472,,59.9959,-170.0143,,,,,,,,,,09022022 16:34:40.001,09022022 16:38:53.844,,,,,0,
135,202202,3,15,3,3m Beam Trawl,09022022 16:52:32.701,09022022 16:57:37.571,60.0005,-170.0286,60.0017,-170.0329,0.27,,,,,,,,,,270,55,50,0,
135,202202,3,16,50,CanTrawl,09022022 17:35:48.338,09022022 18:06:14.256,60.0252,-170.0605,60.0606,-170.0801,4.08,26.05,48.99,0.2000739265,,,,,,,330,55,55,0,
135,202202,4,17,51,CTD,09032022 00:50:20.663,,60.4974,-169.9963,,,,,,,,,,,,,,,,0,
135,202202,4,18,56,Benthic Grab,09032022 00:53:40.539,,60.4956,-169.9948,,,,,,,,,,,,,,51,51,0,
135,202202,4,19,11,Bongo,09032022 01:07:58.831,,60.4955,-169.9986,,,,,,,,,,09032022 01:06:23.686,09032022 01:10:02.117,,,,,0,
135,202202,4,20,3,3m Beam Trawl,09032022 01:20:04.016,09032022 01:25:26.936,60.5019,-170.0023,60.5035,-170.0018,0.18,,,,,,,,,,270,51,51,0,
135,202202,4,21,50,CanTrawl,09032022 01:57:01.788,09032022 02:27:27.737,60.5144,-170.0019,60.546,-170.0136,3.57,22.27,47.91,0.1711141976,,,,,,,330,51,51,0,
135,202202,5,22,3,3m Beam Trawl,09032022 16:35:04.249,09032022 16:40:09.619,60.505,-169.002,60.5068,-169.0034,0.21,,,,,,,,,,240,39,39,0,
135,202202,5,23,50,CanTrawl,09032022 17:16:12.902,09032022 17:47:05.651,60.5219,-169.0082,60.4862,-169.0023,3.98,19.59,48.97,0.1950366949,,,,,,,330,39,39,0,
135,202202,5,24,51,CTD,09032022 18:56:36.919,,60.5061,-169.0089,,,,,,,,,,,,,,,,0,EQ at cast completion
135,202202,5,25,56,Benthic Grab,09032022 18:58:17.920,,60.5063,-169.009,,,,,,,,,,,,,,39,39,0,
135,202202,5,26,11,Bongo,09032022 19:06:07.708,,60.5085,-169.0124,,,,,,,,,,,,,,,,0,
135,202202,6,27,51,CTD,09032022 22:22:05.797,,60.5016,-167.9963,,,,,,,,,,,,,,,,0,
135,202202,6,28,56,Benthic Grab,09032022 22:28:21.555,,60.5025,-167.9909,,,,,,,,,,,,,,30,30,0,
135,202202,6,29,11,Bongo,09032022 22:34:18.264,,60.5025,-167.992,,,,,,,,,,09032022 22:33:08.095,09032022 22:35:14.065,,,,,0,
135,202202,6,30,3,3m Beam Trawl,09032022 22:43:15.835,09032022 22:48:22.874,60.5017,-167.9999,60.5013,-168.0038,0.22,,,,,,,,,,180,30,30,0,
135,202202,6,31,50,CanTrawl,09032022 23:12:11.780,09032022 23:42:39.258,60.5045,-167.979,60.5111,-167.8911,4.87,20.98,50.21,0.2443946546,,,,,,,330,30,30,0,
135,202202,7,32,51,CTD,09042022 02:34:14.466,,60.5004,-166.9975,,,,,,,,,,,,,,,,0,
135,202202,7,33,56,Benthic Grab,09042022 02:39:51.162,,60.5002,-166.996,,,,,,,,,,,,,,28,28,0,
135,202202,7,34,11,Bongo,09042022 02:50:35.083,,60.4988,-167.0023,,,,,,,,,,09042022 02:48:15.432,09042022 02:50:38.468,,,,,0,
135,202202,7,35,3,3m Beam Trawl,09042022 02:58:32.219,09042022 03:04:01.675,60.5004,-167.0117,60.5013,-167.0163,0.27,,,,,,,,,,180,28,28,0,
135,202202,7,36,50,CanTrawl,09042022 03:28:41.357,09042022 03:59:07.244,60.5166,-167.0563,60.5408,-167.111,4.02,24.23,49.94,0.2009783762,,,,,,,330,31,28,0,
135,202202,8,37,51,CTD,09042022 16:00:17.520,,60.999,-166.9999,,,,,,,,,,,,,,,,0,
135,202202,8,38,56,Benthic Grab,09042022 16:10:16.238,,60.9995,-167.0011,,,,,,,,,,,,,,23,23,0,
135,202202,8,39,11,Bongo,09042022 16:12:41.646,,60.9991,-167.0041,,,,,,,,,,09042022 16:11:44.659,09042022 16:13:50.879,,,,,0,
135,202202,8,40,3,3m Beam Trawl,09042022 16:19:29.819,09042022 16:24:34.924,60.9999,-167.0141,61.0015,-167.0196,0.35,,,,,,,,,,140,23,23,0,
135,202202,8,41,50,CanTrawl,09042022 16:50:41.564,09042022 17:21:07.512,61.0029,-167.0547,61.0042,-167.1419,4.70,18.85,51.31,0.2412856014,,,,,,,330,23,23,0,
135,202202,9,42,51,CTD,09042022 20:04:57.022,,61.001,-168.0025,,,,,,,,,,,,,,,,0,
135,202202,9,43,56,Benthic Grab,09042022 20:10:02.809,,61.0017,-168.0021,,,,,,,,,,,,,,29,29,0,
135,202202,9,44,11,Bongo,09042022 20:16:20.994,,61.0012,-168.0024,,,,,,,,,,09042022 20:15:08.189,09042022 20:17:30.133,,,,,0,
135,202202,9,45,3,3m Beam Trawl,09042022 20:23:06.218,09042022 20:28:11.151,61.0008,-167.9969,61.0017,-167.9918,0.29,,,,,,,,,,180,29,29,0,
135,202202,9,46,50,CanTrawl,09042022 21:04:50.677,09042022 21:35:16.610,60.9992,-167.9847,61.0092,-168.0554,3.97,18.62,50.61,0.2009080667,,,,,,,330,29,29,0,
135,202202,10,47,51,CTD,09052022 01:05:19.178,,61.0004,-168.9995,,,,,,,,,,,,,,,,0,
