SHIP,SURVEY,STATION,EVENT_ID,GEAR,NETINWATER,EQ_TIME,EQ_LATITUDE,EQ_LONGITUDE,HB_TIME,HB_LATITUDE,HB_LONGITUDE,NETOUTOFWATER,DOORSOUT,DO_LATITUDE,DO_LONGITUDE,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,AVG_HEAD_ROPE_DEPTH,AVG_TRAWL_WIRE_OUT,BOTTOM_DEPTH_END,BOTTOM_DEPTH_START,EVENT_TYPE,PERFORMANCE_CODE,COMMENTS
135,202301,51,240,3m Beam Trawl,09162023 20:59:35.719,09162023 21:02:32.919,64.3287,-166.7098,09162023 21:07:33.682,64.3295,-166.7039,09162023 21:13:15.126,,,,,,,170,23,23,3,0,
135,202301,50,239,3m Beam Trawl,09162023 18:23:10.964,09162023 18:26:13.256,64.003,-166.9856,09162023 18:31:14.450,64.0045,-166.99,09162023 18:36:31.848,,,,,,,200,28,28,3,0,
135,202301,49,238,3m Beam Trawl,09162023 17:59:46.119,09162023 18:03:41.718,63.9905,-166.9922,09162023 18:08:42.719,63.9921,-166.9878,09162023 18:13:52.167,,,,,,,200,28,28,3,0,
135,202301,48,237,3m Beam Trawl,09162023 17:35:48.866,09162023 17:40:30.544,63.9981,-167.0336,09162023 17:45:32.755,63.9979,-167.0279,09162023 17:54:43.113,,,,,,,200,28,28,3,0,
135,202301,47,236,3m Beam Trawl,,09162023 16:56:51.161,64.0267,-167.0147,09162023 17:01:52.397,64.0244,-167.0134,,,,,,,,200,28,28,3,0,
135,202301,47,235,Benthic Grab,,09162023 16:34:00.952,64.0278,-166.9898,,,,,,,,,,,,28,28,56,0,
135,202301,46,234,CanTrawl,,09162023 00:12:33.477,64.1038,-164.4388,09162023 00:42:34.868,64.1025,-164.3749,,,,,20,52,,330,17,16,50,0,
135,202301,46,233,3m Beam Trawl,09152023 23:36:27.865,09152023 23:40:11.468,64.1045,-164.5018,09152023 23:45:11.762,64.1068,-164.5046,09152023 23:47:51.880,,,,,,,120,16,16,3,0,
135,202301,46,232,Bongo,09152023 23:31:03.680,09152023 23:32:12.335,64.0992,-164.4958,,,,09152023 23:32:38.546,,,,,,,,,,11,0,
135,202301,46,231,Benthic Grab,,09152023 23:27:12.823,64.0986,-164.4905,,,,,,,,,,,,16,16,56,0,
