extraction_ID,alternative_ID,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc_ng_uL,additional_metadata,accompanying_data
e00436,OP-07,water,2021,8,16,OP-07,Southern Bering Sea,PAN21,-165.1807,59.9549,sample,0,4:13 PM,SBS,SG,MP,,vial,,,,,
e00437,OP-07,water,2021,8,16,OP-07,Southern Bering Sea,PAN21,-165.1807,59.9549,sample,0,4:13 PM,SBS,SG,MP,,vial,,,,,
e00438,OP-07,water,2021,8,16,OP-07,Southern Bering Sea,PAN21,-165.1807,59.9549,sample,0,4:13 PM,SBS,SG,MP,,vial,,,,,
e00439,O-07,water,2021,8,16,O-07,Southern Bering Sea,PAN21,-164.4758,59.5785,sample,0,10:13 PM,SBS,SG,MP,,vial,,,,,
e00440,O-07,water,2021,8,16,O-07,Southern Bering Sea,PAN21,-164.4758,59.5785,sample,0,10:13 PM,SBS,SG,MP,,vial,,,,,
e00441,O-07,water,2021,8,16,O-07,Southern Bering Sea,PAN21,-164.4758,59.5785,sample,0,10:13 PM,SBS,SG,MP,,vial,,,,,
e00442,Extraction Blank,water,,,,,,,,,extraction_blank,,,SBS,,MP,,vial,,,,,
e00443,L-09,water,2021,8,17,L-09,Southern Bering Sea,PAN21,-162.7017,58.6657,sample,0,8:08 AM,SBS,SG,MP,,vial,,,,,
e00444,L-09,water,2021,8,17,L-09,Southern Bering Sea,PAN21,-162.7017,58.6657,sample,0,8:08 AM,SBS,SG,MP,,vial,,,,,
e00445,L-09,water,2021,8,17,L-09,Southern Bering Sea,PAN21,-162.7017,58.6657,sample,0,8:08 AM,SBS,SG,MP,,vial,,,,,
e00446,LK-10,water,2021,8,17,LK-10,Southern Bering Sea,PAN21,-162,58.5,sample,0,11:14 AM,SBS,SG,MP,,vial,,,,,
e00447,LK-10,water,2021,8,17,LK-10,Southern Bering Sea,PAN21,-162,58.5,sample,0,11:14 AM,SBS,SG,MP,,vial,,,,,
e00448,LK-10,water,2021,8,17,LK-10,Southern Bering Sea,PAN21,-162,58.5,sample,0,11:14 AM,SBS,SG,MP,,vial,,,,,
e00449,K-11,water,2021,8,18,K-11,Southern Bering Sea,PAN21,-161.4,58.34,sample,0,8:54 AM,SBS,SG,MP,,vial,,,,,
e00450,K-11,water,2021,8,18,K-11,Southern Bering Sea,PAN21,-161.4,58.34,sample,0,8:54 AM,SBS,SG,MP,,vial,,,,,
e00451,K-11,water,2021,8,18,K-11,Southern Bering Sea,PAN21,-161.4,58.34,sample,0,8:54 AM,SBS,SG,MP,,vial,,,,,
e00452,K-12,water,2021,8,18,K-12,Southern Bering Sea,PAN21,-160.77,58.26,sample,0,12:58 PM,SBS,SG,MP,,vial,,,,,
e00453,K-12,water,2021,8,18,K-12,Southern Bering Sea,PAN21,-160.77,58.26,sample,0,12:58 PM,SBS,SG,MP,,vial,,,,,
e00454,K-12,water,2021,8,18,K-12,Southern Bering Sea,PAN21,-160.77,58.26,sample,0,12:58 PM,SBS,SG,MP,,vial,,,,,
e00455,K-13,water,2021,8,18,K-13,Southern Bering Sea,PAN21,-160.2,58.25,sample,0,5:08 PM,SBS,SG,MP,,vial,,,,,
e00456,K-13,water,2021,8,18,K-13,Southern Bering Sea,PAN21,-160.2,58.25,sample,0,5:08 PM,SBS,SG,MP,,vial,,,,,
e00457,K-13,water,2021,8,18,K-13,Southern Bering Sea,PAN21,-160.2,58.25,sample,0,5:08 PM,SBS,SG,MP,,vial,,,,,
e00458,Blank,water,2021,8,19,,Southern Bering Sea,PAN21,,,field_blank,,,SBS,SG,MP,,vial,,,,,
e00459,K-14,water,2021,8,20,K-14,Southern Bering Sea,PAN21,-159.55,58.3333,sample,0,,SBS,SG,MP,,vial,,,,,
e00460,K-14,water,2021,8,20,K-14,Southern Bering Sea,PAN21,-159.55,58.3333,sample,0,,SBS,SG,MP,,vial,,,,,
e00461,K-14,water,2021,8,20,K-14,Southern Bering Sea,PAN21,-159.55,58.3333,sample,0,,SBS,SG,MP,,vial,,,,,
e00462,K-15,water,2021,8,20,K-15,Southern Bering Sea,PAN21,-158.9667,58.3333,sample,0,,SBS,SG,MP,,vial,,,,,
e00463,K-15,water,2021,8,20,K-15,Southern Bering Sea,PAN21,-158.9667,58.3333,sample,0,,SBS,SG,MP,,vial,,,,,
e00464,K-15,water,2021,8,20,K-15,Southern Bering Sea,PAN21,-158.9667,58.3333,sample,0,,SBS,SG,MP,,vial,,,,,
e00465,K-13b,water,2021,8,23,K-13,Southern Bering Sea,PAN21,-160.23,58.24,sample,0,9:09 AM,SBS,SG,MP,,vial,,,,,
e00466,K-13b,water,2021,8,23,K-13,Southern Bering Sea,PAN21,-160.23,58.24,sample,0,9:09 AM,SBS,SG,MP,,vial,,,,,
e00467,K-13b,water,2021,8,23,K-13,Southern Bering Sea,PAN21,-160.23,58.24,sample,0,9:09 AM,SBS,SG,MP,,vial,,,,,
e01885,DY22_08_ST16_0m_1,water,,,,16,,,,,sample,0,,SBS,,MP,2023_01_05,plate,16_2023,A09,,,
e01886,DY22_08_ST16_0m_2,water,,,,16,,,,,sample,0,,SBS,,MP,2023_01_05,plate,16_2023,B09,,,
e01887,DY22_08_ST16_0m_3,water,,,,16,,,,,sample,0,,SBS,,MP,2023_01_05,plate,16_2023,C09,,,
e01888,DY22_08_ST16_blank_4,water,,,,16,,,,,field_blank,,,SBS,,MP,2023_01_05,plate,16_2023,D09,,,
e01889,DY22_08_ST18_CTD17_10m_1,water,,,,18,,,,,sample,10,,SBS,,MP,2023_01_05,plate,16_2023,E09,,,
